"closest","sp","closest.sp","mean.cluster.sp","median.cluster.sp"
22,3,3,3,3
95,3,3,3,3
82,8,2,3.875,3
21,3,3,3,3
87,1,5,5,5
70,3,3,6.16666666666667,3
11,0,5,5,5
66,2,3,4,3
30,5,3,3,3
133,3,1,1,1
112,3,3,3,3
108,5,8,4.66666666666667,3
66,8,3,4,3
99,3,3,3,3
96,0,3,3,3
66,1,3,4,3
10,1,13,6.16666666666667,3
42,1,3,3,3
82,5,2,3.875,3
30,3,3,3,3
99,3,3,3,3
125,3,3,3,3
82,1,2,3.875,3
90,1,2,2,2
19,3,5,3.66666666666667,3
21,2,3,3,3
82,2,2,3.875,3
82,2,2,3.875,3
85,5,3,3,3
69,0,8,5.25,5
114,3,2,3.5,3.5
114,2,2,3.5,3.5
122,3,3,3,3
115,0,5,5,5
82,3,2,3.875,3
69,5,8,5.25,5
10,1,13,6.16666666666667,3
104,1,5,5,5
96,1,3,3,3
108,1,8,4.66666666666667,3
118,1,3,4.66666666666667,3
10,1,13,6.16666666666667,3
123,1,3,3,3
114,3,2,3.5,3.5
21,1,3,3,3
66,3,3,4,3
3,3,8,8,8
117,3,5,5,5
11,8,5,5,5
10,1,13,6.16666666666667,3
